ID1	ID2	Type
TRUB1	SLC25A46	co-expression
TRUB1	SMNDC1	co-expression
TRUB1	SREK1IP1	co-expression
TRUB1	SRP9	co-expression
TRUB1	THAP5	co-expression
TRUB1	TMED5	co-expression
TRUB1	TMED7	co-expression
TRUB1	TMEM167A	co-expression
TRUB1	TSN	co-expression
TRUB1	TWF1	co-expression
TRUB1	UBE2D1	co-expression
TRUB1	VPS26A	co-expression
TRUB1	ZMPSTE24	co-expression
TRUB1	SRSF3	co-expression
SYNPO2	FLNA	direct
SYNPO2	FLNC	direct
SYNPO2	ACTG2	co-expression
SYNPO2	AOC3	co-expression
SYNPO2	BOC	co-expression
SYNPO2	CNN1	co-expression
SYNPO2	HSPB7	co-expression
SYNPO2	JPH2	co-expression
SYNPO2	KCNMB1	co-expression
SYNPO2	RBPMS2	co-expression
SYNPO2	DES	co-expression
SYNPO2	HSPB8	co-expression
SYNPO2	MYH11	co-expression
SYNPO2	FHL1	co-expression
SYNPO2	FILIP1	co-expression
SYNPO2	LMOD1	co-expression
SYNPO2	MSRB3	co-expression
SYNPO2	MYLK	co-expression
SYNPO2	POPDC2	co-expression
SYNPO2	SYNM	co-expression
SYNPO2	THBS4	co-expression
SYNPO2	TNS1	co-expression
PTAFR	MRC1	co-expression
CCM2L	ATP8B2	co-expression
CCM2L	CHRD	co-expression
CCM2L	FAM110D	co-expression
CCM2L	FGFR1	co-expression
CCM2L	LDOC1	co-expression
CCM2L	NOVA2	co-expression
CCM2L	PDE2A	co-expression
CCM2L	USHBP1	co-expression
SDAD1	ACTR2	co-expression
SDAD1	AFTPH	co-expression
SDAD1	BCLAF1	co-expression
SDAD1	CEBPZ	co-expression
SDAD1	CWC22	co-expression
SDAD1	GABPA	co-expression
SDAD1	IPO7	co-expression
SDAD1	OPA1	co-expression
SDAD1	PDS5A	co-expression
SDAD1	PIK3C2A	co-expression
SDAD1	PPIG	co-expression
SDAD1	PRPF40A	co-expression
SDAD1	RBM27	co-expression
SDAD1	SMARCA5	co-expression
SDAD1	SRFBP1	co-expression
SDAD1	TNPO1	co-expression
SDAD1	TOP2B	co-expression
SDAD1	U2SURP	co-expression
SDAD1	USP16	co-expression
SDAD1	ZNF146	co-expression
SDAD1	EAF1	co-expression
SDAD1	MPHOSPH10	co-expression
SDAD1	PRPF18	co-expression
SDAD1	RAB6A	co-expression
SDAD1	SSB	co-expression
SDAD1	EXOC1	co-expression
STX6	ARMC8	direct
PLAGL2	NOL4L	co-expression
PLAGL2	TAF4	co-expression
PLAGL2	TM9SF4	co-expression
PLAGL2	TTI1	co-expression
RICTOR	RPS6KB1	direct
RICTOR	ACAP2	co-expression
RICTOR	ARID4B	co-expression
RICTOR	ATAD2B	co-expression
RICTOR	BCLAF1	co-expression
RICTOR	BRWD1	co-expression
RICTOR	CASP8AP2	co-expression
RICTOR	CENPC	co-expression
RICTOR	CHD9	co-expression
RICTOR	CNOT6L	co-expression
RICTOR	CREB1	co-expression
RICTOR	DCP2	co-expression
RICTOR	DHX36	co-expression
RICTOR	DMXL1	co-expression
RICTOR	ERCC6L2	co-expression
RICTOR	GABPA	co-expression
RICTOR	JMJD1C	co-expression
RICTOR	LATS1	co-expression
RICTOR	LNPEP	co-expression
RICTOR	MAP3K2	co-expression
RICTOR	MOB1B	co-expression
RICTOR	MON2	co-expression
RICTOR	MORC3	co-expression
RICTOR	NPAT	co-expression
RICTOR	OSBPL8	co-expression
RICTOR	PAPOLG	co-expression
RICTOR	PHIP	co-expression
RICTOR	PIK3C2A	co-expression
RICTOR	PIK3CA	co-expression
RICTOR	PIKFYVE	co-expression
RICTOR	PLEKHA3	co-expression
RICTOR	RASA2	co-expression
RICTOR	REST	co-expression
RICTOR	RIF1	co-expression
