Protein	Protein	Input
COIL	ADAMTS12	1
MEOX2	ADAMTS12	1
MYL6	ADAMTS12	1
TP53BP2	ADAMTS12	1
TRIM14	ADAMTS12	1
VWF	ADAMTS13	1
GLRX3	ADAMTSL3	1
MDFI	ADAMTSL3	1
ADAMTSL4	ADAMTSL4	1
AMMECR1	ADAMTSL4	1
BANF2	ADAMTSL4	1
C19orf57	ADAMTSL4	1
C19orf66	ADAMTSL4	1
CBX3	ADAMTSL4	1
CHCHD2	ADAMTSL4	1
CHERP	ADAMTSL4	1
CHIC2	ADAMTSL4	1
CHRD	ADAMTSL4	1
DGCR6L	ADAMTSL4	1
DNPEP	ADAMTSL4	1
EIF4E2	ADAMTSL4	1
EPDR1	ADAMTSL4	1
EXOSC5	ADAMTSL4	1
FAH	ADAMTSL4	1
FAM124B	ADAMTSL4	1
FKBP1B	ADAMTSL4	1
FRS3	ADAMTSL4	1
GLRX3	ADAMTSL4	1
GNG13	ADAMTSL4	1
GNMT	ADAMTSL4	1
GSTP1	ADAMTSL4	1
GUCD1	ADAMTSL4	1
HGF	ADAMTSL4	1
HOXA1	ADAMTSL4	1
HOXC8	ADAMTSL4	1
HSD3B7	ADAMTSL4	1
ITGB4	ADAMTSL4	1
JOSD1	ADAMTSL4	1
KCTD9	ADAMTSL4	1
LGALS14	ADAMTSL4	1
LHX4	ADAMTSL4	1
LMO2	ADAMTSL4	1
LMO4	ADAMTSL4	1
LNX1	ADAMTSL4	1
LRRC29	ADAMTSL4	1
MAGOHB	ADAMTSL4	1
MAPKBP1	ADAMTSL4	1
MID2	ADAMTSL4	1
MORN3	ADAMTSL4	1
MYLIP	ADAMTSL4	1
NMUR2	ADAMTSL4	1
NR4A3	ADAMTSL4	1
NTN4	ADAMTSL4	1
NUFIP2	ADAMTSL4	1
OLFM3	ADAMTSL4	1
OTX1	ADAMTSL4	1
PCSK5	ADAMTSL4	1
PIN1	ADAMTSL4	1
PKN1	ADAMTSL4	1
PLSCR4	ADAMTSL4	1
POLD1	ADAMTSL4	1
PRKAB2	ADAMTSL4	1
PTPMT1	ADAMTSL4	1
